   No. Symbol            Name   Type Period  Group      Mass         K        L1        L2        L3        Ka       Ka1       Ka2        Kb       Kb1       La1       Lb1       Lb2       Lg1       Lg2       Lg3       Lg4        Ll
     1      H        Hydrogen     10      1      1    1.0079    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     2     He          Helium      9      1     18    4.0026    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     3     Li         Lithium      0      2      1    6.9410    0.0000    0.0000    0.0000    0.0000    0.0520    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     4     Be       Beryllium      1      2      2    9.0122    0.0000    0.0000    0.0000    0.0000    0.1100    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     5      B           Boron      6      2     13   10.8110    0.0000    0.0000    0.0000    0.0000    0.1850    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     6      C          Carbon      7      2     14   12.0107    0.0000    0.0000    0.0000    0.0000    0.2820    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     7      N        Nitrogen      7      2     15   14.0067    0.0000    0.0000    0.0000    0.0000    0.3920    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     8      O          Oxygen      7      2     16   15.9994    0.0000    0.0000    0.0000    0.0000    0.5230    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     9      F        Fluorine      8      2     17   18.9984    0.0000    0.0000    0.0000    0.0000    0.6770    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    10     Ne            Neon      9      2     18   20.1797    0.0000    0.0000    0.0000    0.0000    0.8510    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    11     Na          Sodium      0      3      1   22.9898    1.0721    0.0000    0.0000    0.0000    1.0410    1.0410    1.0410    1.0710    1.0670    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    12     Mg       Magnesium      1      3      2   24.3050    1.3050    0.0000    0.0000    0.0000    1.2540    1.2530    1.2540    1.3020    1.2970    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    13     Al       Aluminium      5      3     13   26.9815    1.5596    0.0000    0.0000    0.0000    1.4870    1.4860    1.4860    1.5570    1.5530    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    14     Si         Silicon      6      3     14   28.0855    1.8389    0.0000    0.0000    0.0000    1.7400    1.7400    1.7390    1.8380    1.8320    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    15      P      Phosphorus      7      3     15   30.9738    2.1455    0.0000    0.0000    0.0000    2.0150    2.0130    2.0140    2.1420    2.1360    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    16      S          Sulfur      7      3     16   32.0650    2.4720    0.0000    0.0000    0.0000    2.3070    2.3070    2.3060    2.4680    2.4640    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    17     Cl        Chlorine      8      3     17   35.4530    2.8224    0.0000    0.0000    0.0000    2.6220    2.6220    2.6210    2.8170    2.8150    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    18     Ar           Argon      9      3     18   39.9480    3.2030    0.0000    0.0000    0.0000    2.9570    2.9570    2.9550    3.1910    3.1920    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    19      K       Potassium      0      4      1   39.0983    3.6080    0.0000    0.0000    0.0000    3.3120    3.3130    3.3100    3.5890    3.5890    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    20     Ca         Calcium      1      4      2   40.0780    4.0390    0.0000    0.0000    0.0000    3.6900    3.6910    3.6880    4.0120    4.0120    0.0000    0.3410    0.3440    0.0000    0.0000    0.0000    0.0000    0.0000
    21     Sc        Scandium      4      4      3   44.9559    4.4930    0.0000    0.0000    0.0000    4.0880    4.0900    4.0850    4.4590    4.4600    0.0000    0.3950    0.3990    0.0000    0.0000    0.0000    0.0000    0.0000
    22     Ti        Titanium      4      4      4   47.8670    4.9670    0.0000    0.0000    0.0000    4.5080    4.5100    4.5040    4.9310    4.9310    0.0000    0.4520    0.4580    0.0000    0.0000    0.0000    0.0000    0.0000
    23      V        Vanadium      4      4      5   50.9415    5.4660    0.0000    0.0000    0.0000    4.9490    4.9510    4.9440    5.4270    5.4270    0.0000    0.5100    0.5190    0.0000    0.0000    0.0000    0.0000    0.0000
    24     Cr        Chromium      4      4      6   51.9961    5.9900    0.0000    0.0000    0.0000    5.4110    5.4140    5.4050    5.9470    5.9460    0.0000    0.5710    0.5810    0.0000    0.0000    0.0000    0.0000    0.0000
    25     Mn       Manganese      4      4      7   54.9380    6.5390    0.0000    0.0000    0.0000    5.8950    5.8980    5.8870    6.4920    6.4900    0.0000    0.6360    0.6470    0.0000    0.0000    0.0000    0.0000    0.0000
    26     Fe            Iron      4      4      8   55.8450    7.1120    0.0000    0.0000    0.0000    6.4000    6.4030    6.3900    7.0590    7.0570    0.0000    0.7040    0.7170    0.0000    0.0000    0.0000    0.0000    0.0000
    27     Co          Cobalt      4      4      9   58.9332    7.7090    0.0000    0.0000    0.0000    6.9250    6.9290    6.9150    7.6490    7.6490    0.0000    0.7750    0.7900    0.0000    0.0000    0.0000    0.0000    0.0000
    28     Ni          Nickel      4      4     10   58.6934    8.3330    0.0000    0.0000    0.0000    7.4720    7.4770    7.4600    8.2650    8.2640    8.3280    0.8490    0.8660    0.0000    0.0000    0.0000    0.0000    0.0000
    29     Cu          Copper      4      4     11   63.5460    8.9790    0.0000    0.0000    0.0000    8.0410    8.0460    8.0270    8.9070    8.9040    8.9760    0.9280    0.9480    0.0000    0.0000    0.0000    0.0000    0.0000
    30     Zn            Zinc      4      4     12   65.4090    9.6590    0.0000    0.0000    0.0000    8.6310    8.6370    8.6150    9.5720    9.5710    9.6570    1.0090    1.0320    0.0000    0.0000    0.0000    0.0000    0.0000
    31     Ga         Gallium      5      4     13   69.7230   10.3670    0.0000    0.0000    0.0000    9.2430    9.2500    9.2340   10.2630   10.2630   10.3650    1.0980    1.1250    0.0000    0.0000    0.0000    0.0000    0.0000
    32     Ge       Germanium      6      4     14   72.6400   11.1030    0.0000    0.0000    0.0000    9.8760    9.8850    9.8540   10.9840   10.9810   11.1000    1.1880    1.2180    0.0000    0.0000    0.0000    0.0000    0.0000
    33     As         Arsenic      6      4     15   74.9216   11.8670    0.0000    0.0000    0.0000   10.5320   10.5420   10.5070   11.7290   11.7250   11.8630    1.2820    1.3170    0.0000    0.0000    0.0000    0.0000    0.0000
    34     Se        Selenium      7      4     16   78.9600   12.6580    0.0000    0.0000    0.0000   11.2100   11.2200   11.1810   12.5010   12.4950   12.6510    1.3790    1.4190    0.0000    0.0000    0.0000    0.0000    0.0000
    35     Br         Bromine      8      4     17   79.9040   13.4740    0.0000    0.0000    0.0000   11.9070   11.9220   11.8770   13.2960   13.2900   13.4650    1.4800    1.5260    0.0000    0.0000    0.0000    0.0000    0.0000
    36     Kr         Krypton      9      4     18   83.7980   14.3260    0.0000    0.0000    0.0000   12.6300   12.6480   12.5970   14.1200   14.1120   14.3130    1.5860    1.6360    0.0000    0.0000    0.0000    0.0000    0.0000
    37     Rb        Rubidium      0      5      1   85.4678   15.2000    0.0000    0.0000    0.0000   13.3750   13.3930   13.3350   14.9710   14.9600   15.1840    1.6940    1.7520    0.0000    0.0000    0.0000    0.0000    0.0000
    38     Sr       Strontium      1      5      2   87.6200   16.1050    0.0000    0.0000    0.0000   14.1420   14.1630   14.0970   15.8490   15.8340   16.0830    1.8060    1.8710    0.0010    0.0000    0.0000    0.0000    0.0000
    39      Y         Yttrium      4      5      3   88.9059   17.0380    0.0000    0.0000    0.0000   14.9330   14.9560   14.8820   16.7540   16.7360   17.0110    1.9220    1.9950    0.0000    0.0000    0.0000    0.0000    0.0000
    40     Zr       Zirconium      4      5      4   91.2240   17.9980    0.0000    0.0000    0.0000   15.7460   15.7720   15.6900   17.6870   17.6650   17.9590    2.0420    2.1240    2.2190    2.3020    2.5030    2.5030    0.0000
    41     Nb         Niobium      4      5      5   92.9060   18.9860    0.0000    0.0000    0.0000   16.5840   16.6120   16.5200   18.6470   18.6210   18.9510    2.1660    2.2570    2.3670    2.4620    2.6640    2.6640    0.0000
    42     Mo      Molybdenum      4      5      6   95.9400   20.0000    0.0000    0.0000    0.0000   17.4430   17.4760   17.3730   19.6330   19.6070   19.9640    2.2930    2.3940    2.5180    2.6230    2.8310    2.8310    0.0000
    43     Tc      Technetium      4      5      7   98.9063   21.0440    3.0430    0.0000    0.0000   18.3270   18.3640   18.3280   20.6470   20.5850   21.0120    2.4240    2.5360    2.6740    2.7920    0.0000    0.0000    0.0000
    44     Ru       Ruthenium      4      5      8  101.0700   22.1170    3.2240    0.0000    0.0000   19.2350   19.2760   19.1490   21.6870   21.6550   22.0720    2.5580    2.6830    2.8350    2.9640    3.1810    3.1810    0.0000
    45     Rh         Rhodium      4      5      9  102.9055   23.2200    3.4120    3.1470    3.0040   20.1670   20.2130   20.0720   22.7590   22.7210   23.1690    2.6960    2.8340    3.0010    3.1440    3.3640    3.3640    0.0000
    46     Pd       Palladium      4      5     10  106.4200   24.3500    3.6050    3.3310    3.1740   21.1230   21.1740   21.0180   23.8590   23.8160   24.2970    2.8380    2.9900    3.1710    3.3280    3.5530    3.5530    0.0000
    47     Ag          Silver      4      5     11  107.8682   25.5140    3.8060    3.5240    3.3520   22.1040   22.1590   21.9880   24.9870   24.9420   25.4540    2.9840    3.1500    3.3470    3.5190    3.7430    3.7500    0.0000
    48     Cd         Cadmium      4      5     12  112.4110   26.7110    4.0180    3.7270    3.5380   23.1090   23.1700   22.9820   26.1430   26.0930   26.6410    3.1330    3.3160    3.5280    3.7160    3.9510    0.0000    0.0000
    49     In          Indium      5      5     13  114.8180   27.9400    4.2380    3.9380    3.7310   24.1390   24.2060   24.0000   27.3820   27.2740   27.8590    3.2860    3.4870    3.7130    3.9200    4.1610    4.1610    4.2370
    50     Sn             Tin      5      5     14  118.7100   29.2000    4.4650    4.1570    3.9290   25.1930   25.2670   25.0420   28.6010   28.4830   29.1060    3.4430    3.6620    3.9040    4.1310    4.3770    4.3770    4.4640
    51     Sb        Antimony      6      5     15  121.7600   30.4910    4.6990    4.3810    4.1330   26.2740   26.3550   26.1090   29.8510   29.7230   30.3870    3.6040    3.8430    4.1000    4.3470    4.5600    4.6000    4.6970
    52     Te       Tellurium      6      5     16  127.6000   31.8140    4.9400    4.6120    4.3420   27.3800   27.4680   27.2000   31.1280   30.9930   31.6980    3.7690    4.0290    4.3010    4.5700    4.8290    4.8290    4.9370
    53      I          Iodine      8      5     17  126.9045   33.1690    5.1890    4.8530    4.5580   28.5120   28.6070   28.3150   32.4370   32.2920   33.0160    3.9370    4.2200    4.5070    4.8000    5.0660    5.0660    5.1850
    54     Xe           Xenon      9      5     18  131.2930   34.5610    5.4530    5.1040    4.7830   29.6690   29.7740   29.4850   33.7770   33.6440   34.4460    4.1090    4.4220    4.7200    5.0360    0.0000    0.0000    0.0000
    55     Cs         Caesium      0      6      1  132.9055   35.9820    5.7140    5.3600    5.0120   30.8540   30.9680   30.6230   35.1490   34.9840   35.8190    4.2860    4.6190    4.9350    5.2800    5.5420    5.5530    5.7030
    56     Ba          Barium      1      6      2  137.3270   37.4380    5.9890    5.6240    5.2470   32.0650   32.1880   31.8150   36.5530   36.3760   37.2550    4.4650    4.8270    5.1560    5.5310    5.7970    5.8090    5.9730
    57     La       Lanthanum      2      8      4  138.9055   38.9220    6.2620    5.8910    5.4830   33.3020   33.4360   33.0330   37.9860   37.7990   38.7280    4.6500    5.0410    5.3830    5.7890    6.0600    6.0740    6.2520
    58     Ce          Cerium      2      8      5  140.1160   40.4410    6.5490    6.1640    5.7240   34.5690   34.7140   34.2760   39.4530   39.2550   40.2310    4.8390    5.2610    5.6120    6.0520    6.3250    6.3410    6.5280
    59     Pr    Praseodymium      2      8      6  140.9076   41.9880    6.8350    6.4400    5.9640   35.8640   36.0200   35.5480   40.9530   40.7460   41.7720    5.0330    5.4880    5.8490    6.3220    6.5980    6.6160    6.8150
    60     Nd       Neodymium      2      8      7  144.2420   43.5660    7.1200    6.7220    6.2080   37.1850   37.3550   36.8450   42.4840   42.2690   43.2980    5.2290    5.7210    6.0880    6.6020    6.8830    6.9020    7.1070
    61     Pm      Promethium      2      8      8  146.9151   45.1890    7.4280    7.0130    6.4590   38.5350   38.7180   38.1600   44.0490   43.9450   44.9550    5.4320    5.9600    6.3380    6.8910    0.0000    0.0000    0.0000
    62     Sm        Samarium      2      8      9  150.3600   46.8310    7.7370    7.3120    6.7160   39.9140   40.1110   39.5230   45.6490   45.4000   46.5530    5.6350    6.2050    6.5850    7.1800    7.4670    7.4870    7.7140
    63     Eu        Europium      2      8     10  151.9640   48.5160    8.0520    7.6170    6.9770   41.3230   41.5350   40.8770   47.2830   47.0270   48.2410    5.8450    6.4550    6.8420    7.4780    7.7680    7.7960    8.0300
    64     Gd      Gadolinium      2      8     11  157.2500   50.2360    8.3760    7.9300    7.2430   42.7610   42.9890   42.2800   48.9490   48.7180   49.9610    6.0560    6.7120    7.1020    7.7880    8.0870    8.1050    8.3550
    65     Tb         Terbium      2      8     12  158.9254   51.9930    8.7080    8.2520    7.5140   44.2290   44.4740   43.7370   50.6500   50.3910   51.7370    6.2720    6.9770    7.3650    8.1040    8.3980    8.4230    8.6850
    66     Dy      Dysprosium      2      8     13  162.5000   53.7850    9.0460    8.5810    7.7900   45.7280   45.9910   45.1930   52.3840   52.1780   53.4910    6.4940    7.2460    7.6340    8.4180    8.7140    8.7530    9.0200
    67     Ho         Holmium      2      8     14  164.9303   55.6150    9.3940    8.9180    8.0710   47.2570   47.5390   46.6860   54.1550   53.9340   55.2920    6.7190    7.5240    7.9100    8.7480    9.0510    9.0870    9.3740
    68     Er          Erbium      2      8     15  167.2590   57.4820    9.7510    9.2640    8.3580   48.8180   49.1190   48.2050   55.9630   55.6900   57.0880    6.9470    7.8090    8.1880    9.0890    9.3850    9.4310    9.7220
    69     Tm         Thulium      2      8     16  168.9342   59.3860   10.1150    9.6170    8.6480   50.4100   50.7330   49.7620   57.8060   57.5760   58.9690    7.1790    8.1000    8.4670    9.4240    9.7300    9.7790   10.0840
    70     Yb       Ytterbium      2      8     17  173.0400   61.3290   10.4860    9.9780    8.9440   52.0350   52.3800   51.3260   59.6870   59.3520   60.9590    7.4140    8.4000    8.7570    9.7790   10.0900   10.1430   10.4600
    71     Lu        Lutetium      2      8     18  174.9670   63.3100   10.8700   10.3480    9.2440   53.6930   54.0610   52.9590   61.6070   61.2820   62.9460    7.6540    8.7080    9.0470   10.1420   10.4600   10.5110   10.8430
    72     Hf         Hafnium      4      6      4  178.4900   64.3470   11.2700   10.7390    9.5610   55.3820   55.7810   54.5790   63.5620   63.2090   64.9360    7.8980    9.0210    9.3460   10.5140   10.8340   10.8910   11.2330
    73     Ta        Tantalum      4      6      5  180.9479   67.4120   11.6810   11.1350    9.8810   57.1060   57.5230   56.2700   65.5560   65.2100   66.9990    8.1450    9.3420    9.6500   10.8920   11.2170   11.2780   11.6450
    74      W        Tungsten      4      6      6  183.8400   69.5210   12.0990   11.5430   10.2060   58.8640   59.3080   57.9730   67.5860   67.2330   69.0900    8.3960    9.6710    9.9600   11.2830   11.6080   11.6740   12.0630
    75     Re         Rhenium      4      6      7  186.2070   71.6720   12.5260   11.9580   10.5350   60.6550   61.1300   59.7070   69.6590   69.2960   71.2200    8.6510   10.0080   10.2730   11.6840   12.0100   12.0820   12.4920
    76     Os          Osmium      4      6      8  190.2300   73.8660   12.9670   12.3840   10.8700   62.4820   62.9900   61.4770   71.7750   71.4040   73.3930    8.9100   10.3540   10.5970   12.0940   12.4220   12.5000   12.9230
    77     Ir         Iridium      4      6      9  192.2170   76.1070   13.4180   12.8230   11.2150   64.3460   64.8850   63.2780   73.9330   73.5490   75.6050    9.1740   10.7060   10.9190   12.5090   12.8420   12.9240   13.3680
    78     Pt        Platinum      4      6     10  195.0840   78.3900   13.8790   13.2720   11.5630   66.2460   66.8210   65.1110   76.1310   75.7360   77.8660    9.4410   11.0690   11.2490   12.9390   13.2700   13.3610   13.8280
    79     Au            Gold      4      6     11  196.9666   80.7200   14.3510   13.7330   11.9180   68.1850   68.7920   66.9800   78.3720   77.9680   80.1650    9.7120   11.4400   11.5830   13.3790   13.7100   13.8090   14.3000
    80     Hg         Mercury      4      6     12  200.5900   83.0970   14.8380   14.2080   12.2830   70.1600   70.8070   68.8940   80.6560   80.2580   82.5260    9.9870   11.8210   11.9220   13.8280   14.1620   14.2650   14.7780
    81     Tl        Thallium      5      6     13  204.3833   85.5250   15.3460   14.6970   12.6570   72.1760   72.8590   70.8200   82.9850   82.5580   84.9040   10.2670   12.2110   12.2700   14.2880   14.6250   14.7370   15.2720
    82     Pb            Lead      5      6     14  207.2000   87.9990   15.8600   15.1190   13.0340   74.2280   74.9560   72.7940   85.3570   84.9220   87.3430   10.5500   12.6120   12.6210   14.7620   15.1010   15.2180   15.7770
    83     Bi         Bismuth      5      6     15  208.9804   90.5210   16.3870   15.7100   13.4180   76.3210   77.0950   74.8050   87.7740   87.3350   89.8330   10.8370   13.0210   12.9780   15.2440   15.5820   15.7100   16.2950
